Recipient,Total,Party,Chamber
"Yoho, Ted",2500,Republican,House
"Timmons, William",2500,Republican,House
"Graham, Lindsey",12000,Republican,Senate
"Vela, Filemon",5000,Democrat,House
"Sinema, Kyrsten",12000,Democrat,House
"Costa, Jim",2000,Democrat,House
"Ruppersberger, Dutch",3000,Democrat,House
"Mast, Brian",2000,Republican,House
"Culberson, John",3000,Republican,House
"Knight, Steve",3000,Republican,House
"Bacon, Donald John",2000,Republican,House
"Handel, Karen",17000,Republican,House
"Rutherford, John",2000,Republican,House
"Posey, Bill",2000,Republican,House
"Jones, Walter B Jr",2000,Republican,House
"Ross, Dennis",2000,Republican,House
"Taylor, Scott",12000,Republican,House
"Flores, Bill",6000,Republican,House
"Shaheen, Jeanne",1500,Democrat,Senate
"Cooper, Jim",1500,Democrat,House
"Feinstein, Dianne",5000,Democrat,Senate
"Rooney, Tom",1000,Republican,House
"Smucker, Lloyd",10000,Republican,House
"Sanford, Mark",1000,Republican,House
"Lujan, Ben Ray",16000,Democrat,House
"Cummings, Elijah E",2000,Democrat,House
"Roby, Martha",17000,Republican,House
"Carper, Tom",19500,Democrat,Senate
"Cassidy, Bill",5000,Republican,Senate
"Gowdy, Trey",1000,Republican,House
"Mooney, Alex",11000,Republican,House
"Comer, James",1000,Republican,House
"Bishop, Sanford",12000,Democrat,House
"Whitehouse, Sheldon",4000,Democrat,Senate
"Gardner, Cory",6500,Republican,Senate
"Beutler, Jaime Herrera",3000,Republican,House
"Daines, Steven",15500,Republican,Senate
"Massie, Thomas",1000,Republican,House
"Waltz, Michael",1000,Republican,House
"Young, Todd",1000,Republican,Senate
"Rothfus, Keith J",13000,Republican,House
"Davidson, Warren",6000,Republican,House
"Sessions, Pete",2000,Republican,House
"Hirono, Mazie K",1000,Democrat,Senate
"Veasey, Marc",3000,Democrat,House
"DeSantis, Ron",1000,Republican,House
"Baird, Jim",500,Republican,House
"Graves, Garret",8000,Republican,House
"Guest, Michael Patrick",15000,Republican,House
"Palazzo, Steven",15000,Republican,House
"Rush, Bobby L",13500,Democrat,House
"Cotton, Tom",3500,Republican,Senate
"Higgins, Clay",4000,Republican,House
"Kelly, Trent",14000,Republican,House
"Babin, Brian",3000,Republican,House
"Crawford, Rick",3000,Republican,House
"Blunt, Roy",6000,Republican,Senate
"Rubio, Marco",2500,Republican,Senate
"Weber, Randy",2000,Republican,House
"Gooden, Lance",4500,Republican,House
"Green, Gene",3000,Democrat,House
"Klobuchar, Amy",4750,Democrat,Senate
"Murphy, Christopher S",3000,Democrat,Senate
"Fortenberry, Jeff",2000,Republican,House
"Peters, Scott",6000,Democrat,House
"Lewis, Jason",7000,Republican,House
"Higgins, Brian M",1500,Democrat,House
"Larson, John B",3500,Democrat,House
"Granger, Kay",3000,Republican,House
"Kennedy, Joe III",1000,Democrat,House
"McEachin, Donald",3500,Democrat,House
"Collins, Chris",1000,Republican,House
"Wyden, Ron",2000,Democrat,Senate
"Crowley, Joseph",6000,Democrat,House
"Carter, John",1000,Republican,House
"Jeffries, Hakeem",1000,Democrat,House
"Coleman, Bonnie",4500,Democrat,House
"Donovan, Dan",8500,Republican,House
"Kilmer, Derek",1000,Democrat,House
"MacArthur, Thomas",3500,Republican,House
"Doty, Sally",1000,Republican,House
"Leahy, Patrick",1000,Democrat,Senate
"Poe, Ted",1000,Republican,House
"Himes, Jim",1000,Democrat,House
"Cardenas, Tony",1000,Democrat,House
"Estes, Ron",7000,Republican,House
"Marshall, Roger",6000,Republican,House
"Davis, Paul",2000,Democrat,House
"Watkins, Steve",1000,Republican,House
"Kelly, Mike",21500,Republican,House
"Thompson, Glenn",11000,Republican,House
"Turner, Michael R",7000,Republican,House
"Fitzpatrick, Brian",14000,Republican,House
"Perry, Scott",12500,Republican,House
"Capito, Shelley Moore",5000,Republican,Senate
"Reed, Dave",5000,Republican,House
"Saccone, Rick",5000,Republican,House
"Shuster, Bill",15000,Republican,House
"Marino, Tom",7500,Republican,House
"Norcross, Don",4500,Democrat,House
"Payne, Donald M Jr",3000,Democrat,House
"Cardin, Ben",5000,Democrat,Senate
"Joyce, John",2500,Republican,House
"Boyle, Brendan",8500,Democrat,House
"Menendez, Robert",2500,Democrat,Senate
"Clarke, Jonathan",2000,Democrat,House
"Dent, Charlie",6500,Republican,House
"Smith, Chris",2000,Republican,House
"Portman, Rob",7000,Republican,Senate
"Patton, Tom",1000,Republican,House
"Fitzpatrick, Michael G",1000,Republican,House
"Delaney, John K",1000,Democrat,House
"Garcia, Sylvia",3500,Democrat,House
"Herrell, Yvette",4000,Republican,House
"Haaland, Debra",2500,Democrat,House
"Newman, Monty",1500,Republican,House
"Schrader, Kurt",17997,Democrat,House
"Bonamici, Suzanne",10000,Democrat,House
"Blumenauer, Earl",13500,Democrat,House
"Merkley, Jeff",4000,Democrat,Senate
"Cartwright, Matt",7000,Democrat,House
"Meuser, Dan",1000,Republican,House
"Houlahan, Chrissy",1000,Democrat,House
"Aderholt, Robert B",10000,Republican,House
"Rogers, Mike D",10000,Republican,House
"Woodall, Rob",10000,Republican,House
"Gaetz, Matt",10000,Republican,House
"Graves, Tom",10000,Republican,House
"Palmer, Gary",10000,Republican,House
"Ferguson, Drew",10000,Republican,House
"Loudermilk, Barry",10000,Republican,House
"Scott, Austin",10000,Republican,House
"Brooks, Mo",10000,Republican,House
"Allen, Richard W",10000,Republican,House
"Scott, David",10000,Democrat,House
"Collins, Doug",10000,Republican,House
"Hice, Jody",7500,Republican,House
"Wittman, Rob",7500,Republican,House
"Harris, Kamala",5000,Democrat,Senate
"Panetta, Jimmy",5000,Democrat,House
"Aguilar, Pete",4500,Democrat,House
"Fulcher, Russ",4500,Republican,House
"Escobar, Veronica",4000,Democrat,House
"Sasse, Ben",4000,Republican,Senate
"Isakson, Johnny",2500,Republican,Senate
"Lesko, Debbie",3500,Republican,House
"Gosar, Paul",2500,Republican,House
"Vargas, Juan",2500,Democrat,House
"Ruiz, Raul",2500,Democrat,House
"Gonzalez, Vicente",2500,Democrat,House
"Crenshaw, Dan",2500,Republican,House
"Swalwell, Eric",2500,Democrat,House
"Lewis, John",2000,Democrat,House
"Rounds, Mike",2500,Republican,Senate
"Wilson, Frederica",1500,Democrat,House
"Arrington, Katherine",1000,Republican,House
"Stauber, Pete",1000,Republican,House
"Gianforte, Greg",1000,Republican,House
"Johnson, Hank",1000,Democrat,House
"Kim, Young",1000,Republican,House
"Salazar, Maria",1000,Republican,House
"Sanchez, Linda",1000,Democrat,House
"Tenney, Claudia",1000,Republican,House
"Smith, Tina",10000,Democrat,Senate
"Coffman, Mike",11000,Republican,House
"Tipton, Scott",10000,Republican,House
"Perlmutter, Ed",7500,Democrat,House
"DeGette, Diana",7500,Democrat,House
"Emmer, Tom",6000,Republican,House
"Peterson, Collin",5000,Democrat,House
"Armstrong, Kelly",5000,Republican,House
"McCollum, Betty",4000,Democrat,House
"Craig, Angie",1000,Democrat,House
"Noem, Kristi",3000,Republican,House
"Udall, Tom",3000,Democrat,Senate
"Johnson, Dusty",2500,Republican,House
"Hoeven, John",2000,Republican,Senate
"Walz, Tim",2000,Democrat,House
"Buck, Ken",1500,Republican,House
"Roberts, Pat",1000,Republican,Senate
"Lamborn, Douglas L",1000,Republican,House
"LaMalfa, Doug",1000,Republican,House
"Conaway, Mike",1000,Republican,House
"Pearce, Steve",1000,Republican,House
"Murray, Patty",1000,Democrat,Senate
