Recipient,Party,Chamber,Coal Ratio,Hydro Ratio,Nuclear Ratio,Oil Ratio,Solar Ratio,Wind Ratio
"Durbin, Dick",0,0,0.0,0.5,0.25,0.0,0.0,0.25
"Curbelo, Carlos",0,0,0.0,0.25,0.23863636363636365,0.4318181818181818,0.0,0.07954545454545454
"Stabenow, Debbie",0,0,0.0,0.4233128834355828,0.4049079754601227,0.0,0.024539877300613498,0.147239263803681
"Lawrence, Brenda",0,0,0.0,0.48148148148148145,0.48148148148148145,0.0,0.0,0.037037037037037035
"Kildee, Dan",0,0,0.0,0.5,0.5,0.0,0.0,0.0
"Moolenaar, John",0,0,0.0,0.3389830508474576,0.3389830508474576,0.0847457627118644,0.0,0.23728813559322035
"Mitchell, Paul",0,0,0.0,0.38461538461538464,0.38461538461538464,0.19230769230769232,0.0,0.038461538461538464
"Dingell, Debbie",0,0,0.0,0.36046511627906974,0.38372093023255816,0.1511627906976744,0.0,0.10465116279069768
"Bergman, John",0,0,0.0,0.4297520661157025,0.3305785123966942,0.2396694214876033,0.0,0.0
"Huizenga, Bill",0,0,0.0,0.20512820512820512,0.20512820512820512,0.5897435897435898,0.0,0.0
"Greimel, Tim",0,0,0.0,0.5,0.5,0.0,0.0,0.0
"Peters, Gary",0,0,0.0,0.4772727272727273,0.4318181818181818,0.0,0.0,0.09090909090909091
"Kowall, Michael",0,0,0.0,0.5,0.5,0.0,0.0,0.0
"Frelinghuysen, Rodney",0,0,0.0,0.23404255319148937,0.2127659574468085,0.3723404255319149,0.0,0.18085106382978725
"Levin, Andy",0,0,0.0,0.5,0.5,0.0,0.0,0.0
"Loebsack, David",0,0,0.0,0.21052631578947367,0.47368421052631576,0.0,0.05263157894736842,0.2631578947368421
"Faso, John",0,0,0.0,0.0975609756097561,0.0975609756097561,0.6341463414634146,0.0,0.17073170731707318
"Sewell, Terri A",0,0,0.0,0.3286384976525822,0.3286384976525822,0.22065727699530516,0.0,0.12206572769953052
"Conyers, Ian",0,0,0.0,0.5,0.5,0.0,0.0,0.0
"Pocan, Mark",0,0,0.0,0.21052631578947367,0.47368421052631576,0.0,0.0,0.3157894736842105
"Budd, Ted",0,0,0.0,0.18309859154929578,0.18309859154929578,0.5492957746478874,0.0,0.08450704225352113
"Hudson, Richard",0,0,0.0,0.17543859649122806,0.17543859649122806,0.6140350877192983,0.0,0.03508771929824561
"Jones, Brenda",0,0,0.0,0.5,0.5,0.0,0.0,0.0
"Matsui, Doris",0,0,0.0,0.2857142857142857,0.2857142857142857,0.0,0.0,0.42857142857142855
"Reed, Tom",0,0,0.0,0.09016393442622951,0.10655737704918032,0.5,0.07377049180327869,0.22950819672131148
"McClintock, Tom",0,0,0.0,0.06451612903225806,0.06451612903225806,0.8709677419354839,0.0,0.0
"Welch, Peter",0,0,0.0,0.15384615384615385,0.15384615384615385,0.0,0.0,0.6923076923076923
"Casperson, Tom",0,0,0.0,0.5,0.5,0.0,0.0,0.0
"Holding, George",0,0,0.0,0.13157894736842105,0.13157894736842105,0.5526315789473685,0.0,0.18421052631578946
"Duncan, Jeff",0,0,0.0,0.22033898305084745,0.22033898305084745,0.559322033898305,0.0,0.0
"Rice, Tom",0,0,0.0,0.28205128205128205,0.3076923076923077,0.3269230769230769,0.0,0.08333333333333333
