Recipient,Total,Party,Chamber
"Bishop, Sanford",48500,Democrat,House
"Price, Tom",42500,Republican,House
"Kingston, Jack",30000,Republican,House
"Marshall, Jim",10000,Democrat,House
"Miller, Jeff",30500,Republican,House
"Hoeven, John",49000,Republican,Senate
"Raby, Stephen",4000,Democrat,House
"Roby, Martha",33500,Republican,House
"Davis, Lincoln",5000,Democrat,House
"Linder, John",5000,Republican,House
"Minnick, Walt",5000,Democrat,House
"Scott, David",35000,Democrat,House
"Brooks, Mo",29000,Republican,House
"Johnson, Hank",14500,Democrat,House
"Roberts, Pat",28000,Republican,Senate
"Blackburn, Marsha",29000,Republican,House
"Scott, Austin",32500,Republican,House
"Perkins, James Jr",2000,Democrat,House
"Cochran, Thad",55000,Republican,Senate
"Heller, Dean",25000,Republican,Senate
"Bozeman, Martha",1000,Democrat,House
"Coffman, Mike",26500,Republican,House
"Beutler, Jaime Herrera",4250,Republican,House
"Kirkpatrick, Ann",8500,Democrat,House
"Terry, Lee",67000,Republican,House
"Radanovich, George",1000,Republican,House
"Kosmas, Suzanne",1500,Democrat,House
"Webster, Daniel",7000,Republican,House
"Paulsen, Erik",40500,Republican,House
"Gardner, Cory",68000,Republican,Senate
"Kline, John",15000,Republican,House
"DeGette, Diana",35000,Democrat,House
"Perlmutter, Ed",42500,Democrat,House
"Bachmann, Michele",4000,Republican,House
"Noem, Kristi",24750,Republican,House
"Berg, Rick",9000,Republican,House
"Herger, Wally",2000,Republican,House
"Cravaack, Chip",3000,Republican,House
"Pearce, Steve",24000,Republican,House
"Tipton, Scott",23500,Republican,House
"McCollum, Betty",9500,Democrat,House
"Johnson, Tim",18000,Democrat,Senate
"Reichert, Dave",1000,Republican,House
"Johanns, Mike",2000,Republican,Senate
"Lamborn, Douglas L",4000,Republican,House
"McDermott, Jim",500,Democrat,House
"Salazar, Ken",5000,Democrat,Senate
"Thompson, Tommy G",3500,Republican,Senate
"Pocan, Mark",14500,Democrat,House
"Franken, Al",13000,Democrat,Senate
"Sensenbrenner, Jim",3500,Republican,House
"Schilling, Bobby",10000,Republican,House
"Hultgren, Randy",21000,Republican,House
"Long, Billy",49000,Republican,House
"Hatch, Orrin G",59500,Republican,Senate
"Davis, Rodney",51000,Republican,House
"Enyart, William",10000,Democrat,House
"Griffith, Morgan",68000,Republican,House
"Bustos, Cheri",36000,Democrat,House
"Dold, Bob",19500,Republican,House
"Walsh, Joe",2000,Republican,House
"McKinley, David",83000,Republican,House
"Celeste, Ted",2000,Democrat,House
"Johnson, Bill",105500,Republican,House
"Beatty, Joyce",69500,Democrat,House
"Lankford, James",36000,Republican,Senate
"Mourdock, Richard E",5000,Republican,Senate
"Weber, Randy",11500,Republican,House
"Mica, John L",18500,Republican,House
"Bridenstine, James",6000,Republican,House
"Flake, Jeff",14000,Republican,Senate
"Rankin, Beth Anne",500,Republican,House
"Bartlett, Roscoe G",7000,Republican,House
"Wilson, Heather A",12500,Republican,Senate
"Messer, Luke",21000,Republican,House
"Walorski, Jackie",13500,Republican,House
"Gosar, Paul",9500,Republican,House
"Cole, Tom",3000,Republican,House
"Jeffress, Gene",500,Democrat,House
"Salmon, Matt",8500,Republican,House
"Cotton, Tom",24500,Republican,Senate
"Cassis, Nancy",5000,Republican,House
"Allen, George",14000,Republican,Senate
"Critz, Mark",15500,Democrat,House
"Kildee, Dan",23500,Democrat,House
"Dicks, Norm",3500,Democrat,House
"Bentivolio, Kerry",7000,Republican,House
"Delaney, John K",18500,Democrat,House
"Hirono, Mazie K",1000,Democrat,House
"Bruning, Jon",3000,Republican,Senate
"Barber, Ron",7000,Democrat,House
"Amodei, Mark",1000,Republican,House
"Romney, Mitt",10000,Republican,
"Ellmers, Renee",44000,Republican,House
"Pittenger, Robert",14500,Republican,House
"Nugent, Richard",15000,Republican,House
"Bilirakis, Gus",25500,Republican,House
"Mack, Connie",5500,Republican,House
"Wilson, Joe",16500,Republican,House
"Ross, Dennis",15500,Republican,House
"Posey, Bill",8000,Republican,House
"Diaz-Balart, Mario",14500,Republican,House
"Young, C W Bill",3000,Republican,House
"Rice, Tom",24500,Republican,House
"Brooks, Susan",21000,Republican,House
"Crenshaw, Ander ",6000,Republican,House
"Southerland, Steve",20000,Republican,House
"Rooney, Tom",5000,Republican,House
"Ros-Lehtinen, Ileana",5000,Republican,House
"Young, Todd",19500,Republican,House
"Heitkamp, Heidi",43500,Democrat,Senate
"Hochul, Kathleen",3500,Democrat,House
"Castor, Kathy",6000,Democrat,House
