Recipient,Total,Party,Chamber
"Moran, Jerry",15500,Republican,Senate
"Capito, Shelley Moore",17000,Republican,House
"Posey, Bill",9000,Republican,House
"Deutch, Ted",2000,Democrat,House
"Gibson, Chris",21000,Republican,House
"Baucus, Max",9000,Democrat,Senate
"Ensign, John",3000,Republican,Senate
"Eshoo, Anna",16000,Democrat,House
"Graves, Sam",18500,Republican,House
"McCotter, Thaddeus G",2000,Republican,House
"Neugebauer, Randy",11000,Republican,House
"Butterfield, G K",13000,Democrat,House
"McGovern, James P",5500,Democrat,House
"Issa, Darrell",16000,Republican,House
"Calvert, Ken",15000,Republican,House
"Radanovich, George",2000,Republican,House
"Wyden, Ron",18500,Democrat,Senate
"Schock, Aaron",18000,Republican,House
"Djou, Charles",2000,Republican,House
"Quayle, Ben",3000,Republican,House
"King, Pete",3000,Republican,House
"Nelson, Ben",3000,Democrat,Senate
"Burgess, Michael",20000,Republican,House
"Conaway, Mike",10500,Republican,House
"Higgins, Brian M",4000,Democrat,House
"Whitehouse, Sheldon",4000,Democrat,Senate
"Griffith, Parker",3000,Republican,House
"Adams, Sandy",3000,Republican,House
"Cardin, Ben",10500,Democrat,Senate
"Myrick, Sue",11000,Republican,House
"Aderholt, Robert B",14500,Republican,House
"Ehlers, Vernon J",2000,Republican,House
"Capps, Lois",18000,Democrat,House
"Hastings, Doc",7000,Republican,House
"Matsui, Doris",37000,Democrat,House
"Kilroy, Mary Jo",2000,Democrat,House
"Jordan, Jim",12000,Republican,House
"Grayson, Alan",2000,Democrat,House
"Heinrich, Martin",7500,Democrat,Senate
"Chu, Judy",2000,Democrat,House
"DeLauro, Rosa L",5000,Democrat,House
"Lugar, Richard G",9000,Republican,Senate
"Brown, Corrine",19000,Democrat,House
"Duncan, John J Jr",12000,Republican,House
"Wilson, Charlie",2000,Democrat,House
"Latham, Tom",23000,Republican,House
"Davis, Danny K",4000,Democrat,House
"Miller, Brad",5000,Democrat,House
"Alexander, Rodney",6000,Republican,House
"Cole, Tom",18500,Republican,House
"Olson, Pete",14000,Republican,House
"Lummis, Cynthia",5000,Republican,House
