Recipient,Total,Party,Chamber
"Hatch, Orrin G",142500,Republican,Senate
"Berry, Marion",4500,Democrat,House
"Holden, Tim",7500,Democrat,House
"Barela, Jon",17500,Republican,House
"Tipton, Scott",65500,Republican,House
"Raese, John R",10000,Republican,Senate
"Mullins, Thomas E",11750,Republican,House
"Castle, Michael N",29000,Republican,House
"Benishek, Dan",85000,Republican,House
"Yoder, Kevin",37250,Republican,House
"Shadegg, John",11000,Republican,House
"Vidak, Andy",1000,Republican,House
"Neugebauer, Randy",43600,Republican,House
"Raymond, Richard",500,Democrat,House
"Griffith, Morgan",46500,Republican,House
"Boucher, Rick",15000,Democrat,House
"Kelly, Jesse",25000,Republican,House
"Fimian, Keith S",10000,Republican,House
"Raczkowski, Rocky",5000,Republican,House
"Walorski, Jackie",38000,Republican,House
"Hultgren, Randy",20000,Republican,House
"Grimm, Michael",18500,Republican,House
"Perry, Jeff",10000,Republican,House
"Scott, Tim",22000,Republican,House
"Gibson, Chris",18500,Republican,House
"Inglis, Bob",8000,Republican,House
"Barletta, Lou",39250,Republican,House
"Loughlin, John",5000,Republican,House
"Harmer, David Jeffrey",12000,Republican,House
"Altschuler, Randy",20000,Republican,House
"Dold, Bob",24500,Republican,House
"Debicella, Dan",5000,Republican,House
"Webster, Daniel",30000,Republican,House
"Doheny, Matt",15000,Republican,House
"Ribble, Reid",30500,Republican,House
"Lange, Ben",15000,Republican,House
"Pombo, Richard W",6000,Republican,House
"Graves, Tom",33000,Republican,House
"Barr, Andy",25000,Republican,House
"West, Allen",31500,Republican,House
"Kinzinger, Adam",44500,Republican,House
"Schilling, Bobby",39500,Republican,House
"Runyan, Jon",39500,Republican,House
"Price, Tom",41500,Republican,House
"Jenkins, Lynn",42500,Republican,House
"Bachmann, Michele",23500,Republican,House
"Gosar, Paul",21000,Republican,House
"Rigell, Scott",25500,Republican,House
"Nunnelee, Alan",22500,Republican,House
"Schock, Aaron",23500,Republican,House
"Cravaack, Chip",23500,Republican,House
"Farenthold, Blake",54500,Republican,House
"Bruun, Scott",8000,Republican,House
"Guinta, Frank",30500,Republican,House
"Lee, Barbara",3000,Democrat,House
"Latta, Robert E",35500,Republican,House
"King, Steven A",35500,Republican,House
"Berg, Rick",115000,Republican,House
"McHenry, Patrick",18500,Republican,House
"Roby, Martha",9000,Republican,House
"Hurt, Robert",29000,Republican,House
"Jordan, Jim",23000,Republican,House
"Hanna, Richard",8000,Republican,House
"Lee, Christopher J",4000,Republican,House
"Noem, Kristi",41500,Republican,House
"Reid, Harry",12500,Democrat,Senate
"Norton, Jane",20500,Republican,Senate
"Stutzman, Marlin",14500,Republican,House
"Goodlatte, Bob",5000,Republican,House
"Posey, Bill",4000,Republican,House
"Luetkemeyer, Blaine",3000,Republican,House
"Smith, Lamar",66400,Republican,House
"Tiberi, Pat",26500,Republican,House
"Adams, Sandy",11000,Republican,House
"McKinley, David",44000,Republican,House
"Lewis, Jerry",3000,Republican,House
"Brown-Waite, Ginny",2000,Republican,House
"Guthrie, Brett",37000,Republican,House
"Black, Diane",33000,Republican,House
"Rogers, Mike D",6500,Republican,House
"Grayson, Trey",12000,Republican,Senate
"Westmoreland, Lynn A",13000,Republican,House
"Heck, Joe",42750,Republican,House
"Schmidt, Jean",1000,Republican,House
"Burton, Dan",1000,Republican,House
"Davis, Lincoln",1000,Democrat,House
"Johnson, Hank",1000,Democrat,House
"Kirkpatrick, Ann",3500,Democrat,House
"Paulsen, Erik",21500,Republican,House
"Rogers, Hal",24500,Republican,House
"Bonner, Jo",16000,Republican,House
"Crowley, Joseph",4500,Democrat,House
"Souder, Mark E",5500,Republican,House
"Latham, Tom",29000,Republican,House
"Forbes, Randy",2000,Republican,House
"Turner, Michael R",6000,Republican,House
"King, Pete",19500,Republican,House
"Coble, Howard",7000,Republican,House
"Kingston, Jack",16000,Republican,House
"Kline, John",32000,Republican,House
"Biggert, Judy",26500,Republican,House
"Baca, Joe",4500,Democrat,House
"Buchanan, Vernon",16500,Republican,House
"Duncan, Jeff",27500,Republican,House
"Manzullo, Don",1000,Republican,House
"Emerson, Jo Ann",7000,Republican,House
"Hutchison, Kay Bailey",1000,Republican,Senate
"Gallegly, Elton",1000,Republican,House
"Graves, Sam",15500,Republican,House
"Foxx, Virginia",4500,Republican,House
"Nye, Glenn",1000,Democrat,House
"Akin, Todd",1000,Republican,House
"Crenshaw, Ander ",2000,Republican,House
"Mitchell, Harry",4500,Democrat,House
"Rooney, Tom",13500,Republican,House
"Austria, Steve",16000,Republican,House
"Long, Billy",2000,Republican,House
"Frelinghuysen, Rodney",7000,Republican,House
"Crist, Charlie",1000,Independent,Senate
"Mack, Connie",35000,Republican,House
