Recipient,Total,Party,Chamber
"Heitkamp, Heidi",1000,Democrat,Senate
"Corker, Bob",6000,Republican,Senate
"Cravaack, Chip",1000,Republican,House
"Olson, Pete",1000,Republican,House
"Dold, Bob",1000,Republican,House
"Johnson, Timothy",1000,Republican,House
"Rigell, Scott",1000,Republican,House
"Mica, John L",1000,Republican,House
"Tiberi, Pat",6000,Republican,House
"Latta, Robert E",3000,Republican,House
"Frelinghuysen, Rodney",1000,Republican,House
"Stockman, Steve",1000,Republican,House
"Koster, John",1000,Republican,House
"Gosar, Paul",3500,Republican,House
"Bentivolio, Kerry",1000,Republican,House
"Duckworth, Tammy",250,Democrat,House
"Larsen, Rick",7000,Democrat,House
"Gillan, Kim",1000,Democrat,House
"Beutler, Jaime Herrera",1000,Republican,House
"Fitzpatrick, Michael G",1000,Republican,House
"Lingle, Linda",6000,Republican,Senate
"Chambliss, Saxby",5000,Republican,Senate
"Hoekstra, Peter",3000,Republican,Senate
"Joyce, David P",5000,Republican,House
"Pawlenty, Tim",5000,Republican,
"Frost, Robert",5000,Republican,House
"Wenstrup, Brad",3000,Republican,House
"Cramer, Kevin",5000,Republican,House
"Harper, Gregg",2500,Republican,House
"Salmon, Matt",2500,Republican,House
