Recipient,Party,Chamber,Coal Total,Hydro Total,Nuclear Total,Oil Total,Solar Total,Wind Total,Total,PAC Total,FEC Candidate ID,ID,Coal Ratio,Hydro Ratio,Nuclear Ratio,Oil Ratio,Solar Ratio,Wind Ratio
"Benishek, Dan",Republican,House,3000,22000,19000,68000,0,3000,115000,1110997.16,H0MI01088,B001271,0.0027002769296007923,0.019802030817072477,0.017101753887471684,0.06120627707095129,0.0,0.0027002769296007923
"Kelly, Mike",Republican,House,7000,7000,7000,17500,0,9000,47500,530915.35,H0PA03271,K000376,0.013184776066467094,0.013184776066467094,0.013184776066467094,0.032961940166167734,0.0,0.01695185494260055
"Luetkemeyer, Blaine",Republican,House,2500,10000,13000,0,0,2000,27500,612734.67,H8MO09153,L000569,0.004080069436906516,0.016320277747626063,0.021216361071913884,0.0,0.0,0.0032640555495252127
"Sessions, Pete",Republican,House,2500,6500,15000,65000,0,7000,96000,1087926.92,H2TX03126,S000250,0.0022979484688181078,0.00597466601892708,0.013787690812908647,0.05974666018927081,0.0,0.006434255712690702
"Pearce, Steve",Republican,House,2500,3000,8000,56500,0,1000,71000,440056.43,H2NM02126,P000588,0.00568108958207928,0.0068173074984951365,0.018179486662653697,0.12839262455499173,0.0,0.002272435832831712
"Kinzinger, Adam",Republican,House,2000,21500,21500,33500,0,7000,85500,993724.61,H0IL11052,K000378,0.0020126300384167802,0.021635772912980387,0.021635772912980387,0.03371155314348107,0.0,0.007044205134458731
"Gibbs, Bob",Republican,House,11000,10000,20000,39500,0,2000,82500,815385.94,H0OH18077,G000563,0.013490544121965115,0.012264131019968287,0.024528262039936573,0.048443317528874735,0.0,0.0024528262039936574
"Duncan, John J Jr",Republican,House,2000,0,0,1000,0,3000,6000,471748.88,H8TN02069,D000533,0.004239543716563779,0.0,0.0,0.0021197718582818895,0.0,0.0063593155748456675
"Simpson, Mike",Republican,House,4000,6000,7000,24500,0,1000,42500,769497.14,H8ID02064,S001148,0.005198199956922517,0.007797299935383775,0.009096849924614405,0.03183897473615042,0.0,0.0012995499892306292
"Tester, Jon",Democrat,Senate,2000,22000,24000,2500,2000,11000,63500,2313463.0,S6MT00162,T000464,0.0008645048570044128,0.009509553427048541,0.010374058284052955,0.0010806310712555161,0.0008645048570044128,0.0047547767135242705
"Hartzler, Vicky",Republican,House,2000,2000,6000,10000,0,8000,28000,546383.28,H0MO04086,H001053,0.003660434118701436,0.003660434118701436,0.010981302356104308,0.01830217059350718,0.0,0.014641736474805744
"Pompeo, Mike",Republican,House,2000,4000,14500,50000,0,5000,75500,754250.0,H0KS04051,P000602,0.002651640702684786,0.005303281405369572,0.0192243950944647,0.06629101756711965,0.0,0.006629101756711966
"Blackburn, Marsha",Republican,House,2000,2000,2000,51000,0,5000,62000,1130803.17,H2TN06030,B001243,0.0017686543980947632,0.0017686543980947632,0.0017686543980947632,0.04510068715141646,0.0,0.004421635995236908
"Roskam, Peter",Republican,House,2000,7000,9000,24000,0,6000,48000,1606913.38,H6IL06117,R000580,0.0012446221587874265,0.004356177555755993,0.005600799714543419,0.014935465905449117,0.0,0.0037338664763622792
"McCarthy, Kevin",Republican,House,2000,28500,38000,77000,0,12500,158000,2551087.64,H6CA22125,M001165,0.0007839793383186161,0.01117170557104028,0.014895607428053705,0.03018320452526672,0.0,0.004899870864491351
"Thompson, Glenn",Republican,House,6000,11000,11000,20000,0,3000,51000,458331.23,H8PA05071,T000467,0.013090969166556684,0.024000110138687254,0.024000110138687254,0.04363656388852228,0.0,0.006545484583278342
"Rokita, Todd",Republican,House,2000,2500,2500,8500,0,6000,21500,491600.0,H0IN04170,R000592,0.0040683482506102524,0.005085435313262815,0.005085435313262815,0.017290480065093573,0.0,0.012205044751830757
"Scott, Tim",Republican,House,2500,8500,8500,14500,0,3000,37000,738714.27,H0SC01279,S001184,0.0033842584359443876,0.011506478682210917,0.011506478682210917,0.019628698928477448,0.0,0.004061110123133265
"Noem, Kristi",Republican,House,6000,9500,8000,33500,0,8000,65000,973985.0,H0SD00054,N000184,0.006160259141567889,0.009753743640815824,0.008213678855423852,0.034394780207087375,0.0,0.008213678855423852
"Cruz, Ted",Republican,Senate,6000,13000,18000,119500,0,10000,166500,1258915.0,S2TX00312,C001098,0.004766008825059675,0.01032635245429596,0.014298026475179023,0.09492300909910519,0.0,0.007943348041766125
"Barton, Joe",Republican,House,6000,30500,47500,75500,0,5000,164500,754042.44,H4TX06117,B000213,0.007957111803945678,0.04044865167005719,0.06299380178123662,0.10012699019964978,0.0,0.0066309265032880645
"Nunes, Devin",Republican,House,2000,2500,2500,34000,0,5500,46500,859052.43,H8CA20059,N000181,0.0023281466068374892,0.0029101832585468617,0.0029101832585468617,0.03957849231623732,0.0,0.006402403168803096
"Shuster, Bill",Republican,House,10000,13000,15500,52500,0,11500,102500,919344.78,H2PA09035,S001154,0.010877311991699131,0.01414050558920887,0.016859833587133652,0.05710588795642044,0.0,0.012508908790454002
"Paul, Rand",Republican,Senate,1850,1000,1000,0,0,0,3850,3850.0,S0KY00156,P000603,0.4805194805194805,0.2597402597402597,0.2597402597402597,0.0,0.0,0.0
"Kline, John",Republican,House,1500,5000,5000,20000,0,4000,35500,1048750.0,H8MN06047,K000363,0.0014302741358760429,0.004767580452920143,0.004767580452920143,0.01907032181168057,0.0,0.0038140643623361145
"Graves, Sam",Republican,House,4000,10000,13000,7000,0,4000,38000,1057476.8,H0MO06073,G000546,0.0037825888946216124,0.00945647223655403,0.01229341390752024,0.006619530565587822,0.0,0.0037825888946216124
"Pitts, Joe",Republican,House,1000,10000,11000,22500,0,12000,56500,1016335.25,H6PA16197,P000373,0.0009839273015473978,0.009839273015473979,0.010823200317021376,0.022138364284816452,0.0,0.011807127618568775
"Murkowski, Lisa",Republican,Senate,1000,22500,33000,24500,0,1000,82000,82000.0,S4AK00099,M001153,0.012195121951219513,0.27439024390243905,0.4024390243902439,0.29878048780487804,0.0,0.012195121951219513
"Johnson, Ron",Republican,Senate,1000,3000,4000,0,0,1000,9000,9000.0,S0WI00197,J000293,0.1111111111111111,0.3333333333333333,0.4444444444444444,0.0,0.0,0.1111111111111111
"Stivers, Steve",Republican,House,4000,7000,17000,20500,0,8000,56500,1450228.3,H8OH15076,S001187,0.0027581864179591583,0.004826826231428528,0.011722292276326424,0.014135705392040687,0.0,0.005516372835918317
"Hultgren, Randy",Republican,House,1000,4000,4000,9000,0,4000,22000,611247.75,H0IL14080,H001059,0.0016359978421188462,0.006543991368475385,0.006543991368475385,0.014723980579069616,0.0,0.006543991368475385
"Heck, Joe",Republican,House,1000,0,0,28000,0,3000,32000,1059604.22,H0NV03058,H001055,0.0009437486007747307,0.0,0.0,0.02642496082169246,0.0,0.0028312458023241924
"Heitkamp, Heidi",Democrat,Senate,1000,12000,12000,28500,0,5000,58500,1043745.0,S2ND00099,H001069,0.0009580884219804646,0.011497061063765576,0.011497061063765576,0.02730552002644324,0.0,0.004790442109902323
"Stabenow, Debbie",Democrat,Senate,3500,32000,39000,5000,1000,10000,90500,2769276.0,S8MI00281,S000770,0.0012638682457075422,0.01155536681789753,0.014083103309312615,0.0018055260652964891,0.0003611052130592978,0.0036110521305929783
"Corker, Bob",Republican,Senate,6000,20000,26500,50500,0,18000,121000,2186052.0,S6TN00216,C001071,0.0027446739601802704,0.0091489132006009,0.012122309990796193,0.023101005831517273,0.0,0.00823402188054081
"Stutzman, Marlin",Republican,House,1000,2000,4000,10000,0,2000,19000,19000.0,S0IN00095,S001188,0.05263157894736842,0.10526315789473684,0.21052631578947367,0.5263157894736842,0.0,0.10526315789473684
"McCaskill, Claire",Democrat,Senate,4600,21000,34000,0,1500,3500,64600,2060118.0,S6MO00305,M001170,0.0022328818057994735,0.010193590852562814,0.016503908999387414,0.0,0.0007281136323259153,0.001698931808760469
"Olson, Pete",Republican,House,1000,6000,28000,59500,0,2000,96500,733841.86,H8TX22107,O000168,0.001362691411471131,0.008176148468826786,0.038155359521191666,0.08108013898253229,0.0,0.002725382822942262
"Rigell, Scott",Republican,House,1000,0,0,17500,0,5000,23500,639930.13,H0VA02084,R000589,0.0015626705996793745,0.0,0.0,0.02734673549438905,0.0,0.007813352998396871
"Mica, John L",Republican,House,1000,6000,8500,48000,0,13000,76500,1094247.55,H2FL08055,M000689,0.0009138699922151984,0.005483219953291191,0.007767894933829187,0.04386575962632953,0.0,0.01188030989879758
"Tiberi, Pat",Republican,House,6000,26000,39000,21500,0,11000,103500,2022849.4,H0OH12062,T000462,0.002966113048257572,0.012853156542449479,0.019279734813674218,0.010628571756256299,0.0,0.005437873921805549
"Latta, Robert E",Republican,House,3000,14000,21000,29000,2000,2000,71000,562267.73,H8OH05036,L000566,0.005335536506781209,0.024899170364978976,0.037348755547468464,0.05157685289888502,0.0035570243378541394,0.0035570243378541394
"Frelinghuysen, Rodney",Republican,House,1000,12000,14000,6000,500,11000,44500,586926.49,H2NJ05014,F000372,0.001703790878479518,0.020445490541754215,0.02385307229871325,0.010222745270877107,0.000851895439239759,0.018741699663274696
"Calvert, Ken",Republican,House,1000,0,0,9500,500,5000,16000,504238.68,H2CA37023,C000059,0.0019831878030459704,0.0,0.0,0.018840284128936718,0.0009915939015229852,0.00991593901522985
"Young, Don",Republican,House,1000,1000,1000,22000,0,1000,26000,374040.13,H6AK00045,Y000033,0.0026735099252585544,0.0026735099252585544,0.0026735099252585544,0.0588172183556882,0.0,0.0026735099252585544
"Gosar, Paul",Republican,House,3500,3500,4500,18000,1000,1000,31500,425522.54,H0AZ01259,G000565,0.008225181208967215,0.008225181208967215,0.010575232982957847,0.04230093193183139,0.002350051773990633,0.002350051773990633
"Fleischmann, Chuck",Republican,House,1000,0,0,6000,0,0,7000,556455.3,H0TN03254,F000459,0.0017970895416037909,0.0,0.0,0.010782537249622744,0.0,0.0
"Blunt, Roy",Republican,Senate,500,2000,7000,0,0,0,9500,9500.0,H6MO07128,B000575,0.05263157894736842,0.21052631578947367,0.7368421052631579,0.0,0.0,0.0
