,Unnamed: 0,bill_id,member_id,vote_position,bill_cycle,bill_prop_party,member_party,percent_oil,percent_solar,percent_wind,percent_hydro,percent_nuclear,percent_coal,metric_oil,metric_solar,metric_wind,metric_hydro,metric_nuclear,metric_coal
71,71,hr1900-113,L000573,No,2014,R,R,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0
72,72,hr1900-113,L000567,No,2014,R,R,0.013083654676120892,0.0,0.004443505361701436,0.007899565087469218,0.008640149314419455,0.0,1,0,0,0,0,0
73,73,hr1900-113,L000263,Yes,2014,R,D,0.003824525226426301,0.0,0.007436576829162251,0.013943581554679223,0.013412397495453348,0.0,1,0,0,0,0,0
74,74,hr1900-113,L000554,No,2014,R,R,0.003805746989663193,0.0,0.0010873562827609124,0.001812260471268187,0.0021747125655218248,0.0,1,0,0,0,0,0
75,75,hr1900-113,L000580,Yes,2014,R,D,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0
76,76,hr1900-113,M001181,No,2014,R,R,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0
77,77,hr1900-113,M001189,No,2014,R,R,0.13499325033748313,0.0,0.0119994000299985,0.023998800059997,0.02999850007499625,0.00599970001499925,1,0,0,0,0,0
78,78,hr1900-113,M001182,No,2014,R,R,0.021984134649590703,0.0,0.007267482528790316,0.01635183568977821,0.01635183568977821,0.0,1,0,0,0,0,0
79,79,hr1900-113,M001151,No,2014,R,R,0.04505462149180614,0.0,0.004231165878440343,0.018091881687124226,0.022031243022223857,0.0097754522019139,1,0,0,0,0,0
80,80,hr1900-113,N000184,No,2014,R,R,0.026876279362817758,0.0,0.008062883808845327,0.009773192495570094,0.0079407189026507,0.0034206173734495325,1,0,0,0,0,0
81,81,hr1900-113,N000127,Yes,2014,R,D,0.0,0.0,0.0029121739164241324,0.0014560869582120662,0.0021841304373180995,0.0,1,0,0,0,0,0
82,82,hr1900-113,O000170,Yes,2014,R,D,0.5555555555555556,0.0,0.0,0.0,0.4444444444444444,0.0,1,0,0,0,0,0
83,83,hr1900-113,P000594,No,2014,R,R,0.011375716798135095,0.0,0.006562913537385633,0.006271228491279604,0.006562913537385633,0.0,1,0,0,0,0,0
84,84,hr1900-113,P000588,No,2014,R,R,0.13391062808236615,0.0,0.0028438678647701872,0.004976768763347827,0.010309021009791927,0.0053322522464441,1,0,0,0,0,0
85,85,hr1900-113,P000606,No,2014,R,R,0.042734242228938304,0.0,0.00569789896385844,0.010683560557234576,0.010683560557234576,0.0,1,0,0,0,0,0
86,86,hr1900-113,P000592,No,2014,R,R,0.0863734890486043,0.0010102162461825064,0.003030648738547519,0.007576621846368797,0.016668568062011356,0.0,1,0,0,0,0,0
88,88,hr1900-113,P000602,No,2014,R,R,0.062176933815377686,0.0,0.006454352991215677,0.010111819686237894,0.018287333475111085,0.003657466695022217,1,0,0,0,0,0
89,89,hr1900-113,P000591,No,2014,R,R,0.021436752044363083,0.0,0.010793329700658334,0.00899444141721528,0.00899444141721528,0.0,1,0,0,0,0,0
90,90,hr1900-113,R000578,No,2014,R,R,0.007241641273356388,0.0007427324382929628,0.008541423040369072,0.0003713662191464814,0.0003713662191464814,0.0,1,0,0,0,0,0
91,91,hr1900-113,R000586,No,2014,R,R,0.029373574476899318,0.0,0.004543978372117022,0.007465107325620821,0.009250241686095366,0.007627392267482143,1,0,0,0,0,0
92,92,hr1900-113,R000409,No,2014,R,R,0.041961709939680035,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0
93,93,hr1900-113,R000592,No,2014,R,R,0.029555312709402787,0.0,0.009333256645074565,0.007777713870895471,0.007777713870895471,0.009333256645074565,1,0,0,0,0,0
94,94,hr1900-113,R000583,No,2014,R,R,0.014350193555410675,0.0,0.001050014162591025,0.00210002832518205,0.00210002832518205,0.0,1,0,0,0,0,0
95,95,hr1900-113,R000435,No,2014,R,R,0.004388976395700065,0.0,0.00337613568900005,0.00202568141340003,0.00202568141340003,0.0,1,0,0,0,0,0
96,96,hr1900-113,R000580,No,2014,R,R,0.017001614822150842,0.0,0.0047165770151773295,0.003510010801992431,0.004387513502490539,0.0006581270253735807,1,0,0,0,0,0
