,name,session,chamber,party,fec_candidate_id,id,crp_id
2411,Mike Quigley,113,Rep.,D,,Q000023,N00030581
2412,Trey Radel,113,Rep.,R,,R000596,None
2413,Nick Rahall,113,Rep.,D,,R000011,None
2414,Charles Rangel,113,Rep.,D,,R000053,None
2415,Tom Reed,113,Rep.,R,,R000585,N00030949
2416,Dave Reichert,113,Rep.,R,,R000578,N00026885
2417,Jim Renacci,113,Rep.,R,,R000586,N00031127
2418,Reid Ribble,113,Rep.,R,,R000587,None
2419,Tom Rice,113,Rep.,R,,R000597,N00033832
2420,Cedric Richmond,113,Rep.,D,,R000588,N00030184
2421,Scott Rigell,113,Rep.,R,,R000589,None
2422,Martha Roby,113,Rep.,R,,R000591,N00030768
2423,Phil Roe,113,Rep.,R,,R000582,N00028463
2424,Mike Rogers,113,Rep.,R,,R000575,N00024759
2425,Harold Rogers,113,Rep.,R,,R000395,N00003473
2426,Mike Rogers,113,Rep.,R,,R000572,None
2427,Dana Rohrabacher,113,Rep.,R,,R000409,N00007151
2428,Todd Rokita,113,Rep.,R,,R000592,N00031741
2429,Tom Rooney,113,Rep.,R,,R000583,N00029018
2430,Ileana Ros-Lehtinen,113,Rep.,R,,R000435,N00002858
2431,Peter Roskam,113,Rep.,R,,R000580,N00004719
2432,Dennis Ross,113,Rep.,R,,R000593,N00030645
2433,Keith Rothfus,113,Rep.,R,,R000598,N00031253
2434,Lucille Roybal-Allard,113,Rep.,D,,R000486,N00006671
2435,Edward Royce,113,Rep.,R,,R000487,N00008264
2436,Raul Ruiz,113,Rep.,D,,R000599,N00033510
2437,Jon Runyan,113,Rep.,R,,R000594,None
2438,C.A. Dutch Ruppersberger,113,Rep.,D,,R000576,N00025482
2439,Bobby Rush,113,Rep.,D,,R000515,N00004887
2440,Tim Ryan,113,Rep.,D,,R000577,N00025280
2441,Paul Ryan,113,Rep.,R,,R000570,N00004357
2442,Gregorio Sablan,113,Del.,D,,S001177,N00030418
2443,Matt Salmon,113,Rep.,R,,S000018,None
2444,Linda Sánchez,113,Rep.,D,,S001156,N00024870
2445,Loretta Sánchez,113,Rep.,D,,S000030,None
2446,Mark Sanford,113,Rep.,R,,S000051,N00002424
2447,John Sarbanes,113,Rep.,D,,S001168,N00027751
2448,Steve Scalise,113,Rep.,R,,S001176,N00009660
2449,Jan Schakowsky,113,Rep.,D,,S001145,N00004724
2450,Adam Schiff,113,Rep.,D,,S001150,N00009585
2451,Brad Schneider,113,Rep.,D,,S001190,N00033101
2452,Aaron Schock,113,Rep.,R,,S001179,None
2453,Kurt Schrader,113,Rep.,D,,S001180,N00030071
2454,Allyson Schwartz,113,Rep.,D,,S001162,None
2455,David Schweikert,113,Rep.,R,,S001183,N00006460
2456,David Scott,113,Rep.,D,,S001157,N00024871
2457,Robert Scott,113,Rep.,D,,S000185,N00002147
2458,Austin Scott,113,Rep.,R,,S001189,N00032457
2459,F. Sensenbrenner,113,Rep.,R,,S000244,N00004291
2460,José Serrano,113,Rep.,D,,S000248,N00001813
2461,Pete Sessions,113,Rep.,R,,S000250,N00005681
2462,Terri Sewell,113,Rep.,D,,S001185,N00030622
2463,Carol Shea-Porter,113,Rep.,D,,S001170,N00028091
2464,Brad Sherman,113,Rep.,D,,S000344,N00006897
2465,John Shimkus,113,Rep.,R,,S000364,N00004961
2466,Bill Shuster,113,Rep.,R,,S001154,N00013770
2467,Mike Simpson,113,Rep.,R,,S001148,N00006263
2468,Kyrsten Sinema,113,Rep.,D,,S001191,N00033983
2469,Albio Sires,113,Rep.,D,,S001165,N00027523
2470,Louise Slaughter,113,Rep.,D,,S000480,N00001311
2471,Jason Smith,113,Rep.,R,,S001195,N00035282
2472,Adam Smith,113,Rep.,D,,S000510,N00007833
2473,Christopher Smith,113,Rep.,R,,S000522,N00009816
2474,Adrian Smith,113,Rep.,R,,S001172,N00027623
2475,Lamar Smith,113,Rep.,R,,S000583,N00001811
2476,Steve Southerland,113,Rep.,R,,S001186,None
2477,Jackie Speier,113,Rep.,D,,S001175,N00029649
2478,Chris Stewart,113,Rep.,R,,S001192,N00033932
2479,Steve Stivers,113,Rep.,R,,S001187,N00029574
2480,Steve Stockman,113,Rep.,R,,S000937,None
2481,Marlin Stutzman,113,Rep.,R,,S001188,None
2482,Eric Swalwell,113,Rep.,D,,S001193,N00033508
2483,Mark Takano,113,Rep.,D,,T000472,N00006701
2484,Lee Terry,113,Rep.,R,,T000459,None
2485,Glenn Thompson,113,Rep.,R,,T000467,N00029736
2486,Mike Thompson,113,Rep.,D,,T000460,N00007419
2487,Bennie Thompson,113,Rep.,D,,T000193,N00003288
2488,William Thornberry,113,Rep.,R,,T000238,N00006052
2489,Pat Tiberi,113,Rep.,R,,T000462,N00009699
2490,John Tierney,113,Rep.,D,,T000266,None
2491,Scott Tipton,113,Rep.,R,,T000470,N00027509
2492,Dina Titus,113,Rep.,D,,T000468,N00030191
2493,Paul Tonko,113,Rep.,D,,T000469,N00030196
2494,Niki Tsongas,113,Rep.,D,,T000465,N00029026
2495,Michael Turner,113,Rep.,R,,T000463,N00025175
2496,Fred Upton,113,Rep.,R,,U000031,N00004133
2497,David Valadao,113,Rep.,R,,V000129,N00033367
2498,Chris Van Hollen,113,Rep.,D,,V000128,N00013820
2499,Juan Vargas,113,Rep.,D,,V000130,N00007021
2500,Marc Veasey,113,Rep.,D,,V000131,N00033839
2501,Filemon Vela,113,Rep.,D,,V000132,N00034349
2502,Nydia Velázquez,113,Rep.,D,,V000081,N00001102
2503,Peter Visclosky,113,Rep.,D,,V000108,N00003813
2504,Ann Wagner,113,Rep.,R,,W000812,N00033106
2505,Tim Walberg,113,Rep.,R,,W000798,N00026368
2506,Greg Walden,113,Rep.,R,,W000791,N00007690
2507,Jackie Walorski,113,Rep.,R,,W000813,N00031226
2508,Tim Walz,113,Rep.,D,,W000799,N00027467
2509,Debbie Wasserman Schultz,113,Rep.,D,,W000797,N00026106
2510,Maxine Waters,113,Rep.,D,,W000187,N00006690
2511,Melvin Watt,113,Rep.,D,,W000207,None
2512,Henry Waxman,113,Rep.,D,,W000215,None
2513,Randy Weber,113,Rep.,R,,W000814,N00033539
2514,Daniel Webster,113,Rep.,R,,W000806,N00026335
2515,Peter Welch,113,Rep.,D,,W000800,N00000515
2516,Brad Wenstrup,113,Rep.,R,,W000815,N00033310
2517,Lynn Westmoreland,113,Rep.,R,,W000796,None
2518,Edward Whitfield,113,Rep.,R,,W000413,None
2519,Roger Williams,113,Rep.,R,,W000816,N00030602
2520,Frederica Wilson,113,Rep.,D,,W000808,N00030650
2521,Joe Wilson,113,Rep.,R,,W000795,N00024809
2522,Robert Wittman,113,Rep.,R,,W000804,N00029459
2523,Frank Wolf,113,Rep.,R,,W000672,None
2524,Steve Womack,113,Rep.,R,,W000809,N00031857
2525,Rob Woodall,113,Rep.,R,,W000810,N00032416
2526,John Yarmuth,113,Rep.,D,,Y000062,N00028073
2527,Kevin Yoder,113,Rep.,R,,Y000063,N00031502
2528,Ted Yoho,113,Rep.,R,,Y000065,N00033220
2529,C. W. Bill Young,113,Rep.,R,,Y000031,None
2530,Don Young,113,Rep.,R,,Y000033,N00007999
2531,Todd Young,113,Rep.,R,,Y000064,N00030670
2532,Ralph Abraham,114,Rep.,R,H4LA05221,A000374,N00036633
2533,Alma Adams,114,Rep.,D,H4NC12100,A000370,N00035451
2534,Robert Aderholt,114,Rep.,R,H6AL04098,A000055,N00003028
2535,Pete Aguilar,114,Rep.,D,H2CA31125,A000371,N00033997
2536,Rick Allen,114,Rep.,R,H2GA12121,A000372,N00033720
2537,Justin Amash,114,Rep.,R,H0MI03126,A000367,N00031938
2538,Mark Amodei,114,Rep.,R,S0NV00237,A000369,N00031177
2539,Brad Ashford,114,Rep.,D,H4NE02054,A000373,None
2540,Brian Babin,114,Rep.,R,H6TX02079,B001291,N00005736
2541,Lou Barletta,114,Rep.,R,H2PA11098,B001269,N00025495
2542,Andy Barr,114,Rep.,R,H0KY06104,B001282,N00031233
2543,Joe Barton,114,Rep.,R,S4TX00094,B000213,N00005656
2544,Karen Bass,114,Rep.,D,H0CA33117,B001270,N00031877
2545,Joyce Beatty,114,Rep.,D,H2OH03125,B001281,N00033904
2546,Xavier Becerra,114,Rep.,D,H2CA30143,B000287,None
2547,Dan Benishek,114,Rep.,R,H0MI01088,B001271,None
2548,Ami Bera,114,Rep.,D,H0CA03078,B001287,N00030717
2549,Donald Beyer,114,Rep.,D,H4VA08224,B001292,N00036018
2550,Gus Bilirakis,114,Rep.,R,H6FL09070,B001257,N00027462
2551,Sanford Bishop,114,Rep.,D,H2GA02031,B000490,N00002674
2552,Mike Bishop,114,Rep.,R,H4MI08135,B001293,N00036449
2553,Rob Bishop,114,Rep.,R,H2UT01094,B001250,N00025292
2554,Diane Black,114,Rep.,R,H0TN06257,B001273,N00031539
2555,Marsha Blackburn,114,Rep.,R,H2TN06030,B001243,N00003105
2556,Rod Blum,114,Rep.,R,H2IA01055,B001294,N00033744
