,Unnamed: 0,Unnamed: 0.1,name,fec_candidate_id,2010,2012,2014,2016,2018,2020,id,party
99,99,99,Richard Shelby,S6AL00013,1671200.0,0.0,0.0,1596350.0,0.0,0.0,S000320,R
100,100,100,Tina Smith,S8MN00578,0.0,0.0,0.0,0.0,1500307.13,2431715.38,S001203,D
101,101,101,Debbie Stabenow,S8MI00281,0.0,2769276.0,0.0,0.0,2876406.51,0.0,S000770,D
102,102,102,Dan Sullivan,S4AK00214,0.0,0.0,830247.0,90500.0,0.0,1903366.97,S001198,R
103,103,103,Jon Tester,S6MT00162,0.0,2313463.0,0.0,0.0,2417939.0,0.0,T000464,D
104,104,104,John Thune,S2SD00068,2012281.0,0.0,0.0,2385972.0,0.0,0.0,T000250,R
105,105,105,Thom Tillis,S4NC00162,0.0,0.0,1160612.0,0.0,0.0,3510847.39,T000476,R
106,106,106,Patrick Toomey,S4PA00121,1621776.0,0.0,0.0,3788903.0,0.0,0.0,T000461,R
107,107,107,Tom Udall,H8NM03097,0.0,0.0,0.0,0.0,0.0,0.0,U000039,D
108,108,108,Mark Warner,S6VA00093,0.0,0.0,2811309.0,0.0,0.0,2495949.0,W000805,D
109,109,109,Elizabeth Warren,S2MA00170,0.0,673560.0,0.0,0.0,349378.0,0.0,W000817,D
110,110,110,Sheldon Whitehouse,S6RI00221,0.0,1018257.0,0.0,0.0,1052710.53,0.0,W000802,D
111,111,111,Roger Wicker,H4MS01078,0.0,0.0,0.0,0.0,0.0,0.0,W000437,R
112,112,112,Ron Wyden,S6OR00110,1788256.0,0.0,0.0,2160941.0,0.0,0.0,W000779,D
113,113,113,Brad Ashford,H4NE02054,0.0,0.0,275453.18,1269094.27,170500.0,0.0,A000373,D
114,114,114,Dan Benishek,H0MI01088,501166.17,1110997.16,1035693.63,329000.0,0.0,0.0,B001271,R
115,115,115,Charles Boustany,H4LA07029,0.0,0.0,0.0,895172.62,0.0,0.0,B001255,R
116,116,116,Corrine Brown,S0FL00403,51234.0,0.0,0.0,0.0,0.0,0.0,B000911,D
117,117,117,Lois Capps,H8CA22089,417755.8,1132703.11,1007160.0,0.0,0.0,0.0,C001036,D
118,118,118,John Carney,H0DE01017,661671.03,856374.85,842754.77,189150.0,0.0,0.0,C001083,D
119,119,119,Curt Clawson,H4FL19074,0.0,0.0,48250.0,5000.0,0.0,0.0,C001102,R
120,120,120,Ander Crenshaw,H0FL04066,237458.95,302466.82,736989.65,756698.36,0.0,0.0,C001045,R
121,121,121,Robert Dold,H0IL10302,443581.96,1378546.29,687939.81,2284266.41,0.0,0.0,D000613,R
122,122,122,Tammy Duckworth,H6IL06141,0.0,727990.9,965438.64,0.0,0.0,0.0,D000622,D
123,123,123,Donna Edwards,H6MD04183,331715.95,446507.4,395900.0,0.0,0.0,0.0,E000290,D
124,124,124,Renee Ellmers,H0NC02059,44000.0,597024.24,1292580.61,1090608.02,0.0,0.0,E000291,R
125,125,125,Sam Farr,H4CA17021,396116.33,405556.84,419377.92,134469.63,0.0,0.0,F000030,D
126,126,126,Stephen Fincher,H0TN08246,519032.96,886585.52,814130.42,467200.0,0.0,0.0,F000458,R
127,127,127,Michael Fitzpatrick,H4PA08074,419831.11,1087851.92,1174469.15,0.0,0.0,0.0,F000451,R
128,128,128,John Fleming,H8LA04225,385302.36,321363.1,298975.0,177500.0,0.0,0.0,F000456,R
129,129,129,J. Forbes,H2VA04052,311675.0,382294.42,471354.0,493916.32,0.0,0.0,F000445,R
130,130,130,Scott Garrett,H8NJ05052,766531.22,1009260.81,971050.0,746457.51,0.0,0.0,G000548,R
131,131,131,Chris Gibson,H0NY20095,249662.7,1097681.24,1479129.1,0.0,0.0,0.0,G000564,R
132,132,132,Gwen Graham,H4FL02062,0.0,0.0,686445.42,793597.0,0.0,0.0,G000575,D
133,133,133,Alan Grayson,H6FL08213,711532.97,230366.83,292675.0,37000.0,24778.8,5600.0,G000556,D
134,134,134,Frank Guinta,H0NH01217,340519.87,870906.96,528884.69,784126.16,0.0,0.0,G000570,R
135,135,135,Janice Hahn,H8CA36097,0.0,876029.79,512032.45,0.0,0.0,0.0,H001063,D
136,136,136,Richard Hanna,H8NY24066,215752.61,574778.4,604980.86,264421.63,0.0,0.0,H001051,R
137,137,137,Cresent Hardy,H4NV04017,0.0,0.0,62309.6,890945.0,0.0,0.0,H001070,R
138,138,138,Joe Heck,H0NV03058,507686.91,1059604.22,1078202.13,406402.1,0.0,0.0,H001055,R
139,139,139,Rubén Hinojosa,H6TX15055,291750.0,312800.0,355500.0,52000.0,0.0,0.0,H000636,D
140,140,140,Michael Honda,H0CA15148,343762.89,340460.54,873350.36,757945.33,0.0,0.0,H001034,D
141,141,141,Tim Huelskamp,H6KS01146,238948.0,428923.04,218550.0,177520.43,2985.0,0.0,H001057,R
142,142,142,Robert Hurt,H0VA05095,681410.84,907309.54,689008.45,325750.0,0.0,0.0,H001060,R
143,143,143,Steve Israel,H0NY02085,761640.25,1095074.0,1336490.26,529610.47,0.0,0.0,I000057,D
144,144,144,David Jolly,H4FL13101,0.0,0.0,831506.98,620231.75,0.0,0.0,J000296,R
145,145,145,John Kline,H8MN06047,0.0,1048750.0,1218473.12,283250.0,0.0,0.0,K000363,R
146,146,146,Cynthia Lummis,H8WY00148,405240.95,358640.0,304850.0,61000.0,0.0,0.0,L000571,R
147,147,147,Jim McDermott,H8WA07132,267758.16,302871.63,425550.0,167700.0,0.0,0.0,M000404,D
148,148,148,John Mica,H2FL08055,716399.01,1094247.55,466725.0,866028.19,0.0,0.0,M000689,R
149,149,149,Jeff Miller,H2FL01100,280448.85,377359.34,387300.0,360713.9,0.0,0.0,M001144,R
150,150,150,Candice Miller,H6MI12181,483485.1,448450.0,511317.54,0.0,0.0,0.0,M001150,R
151,151,151,Patrick Murphy,H2FL22072,0.0,493184.1,1488988.93,761200.0,0.0,0.0,M001191,D
152,152,152,Randy Neugebauer,H4TX19102,580845.36,858979.64,1017030.48,206000.0,0.0,0.0,N000182,R
153,153,153,Richard Nugent,H0FL05139,262527.56,339704.41,211830.83,45225.0,0.0,0.0,N000185,R
154,154,154,Pedro Pierluisi,H8PR00062,0.0,129250.0,0.0,33850.0,0.0,0.0,P000596,D
155,155,155,Joe Pitts,H6PA16197,465507.7,1016335.25,1042620.0,381500.0,0.0,0.0,P000373,R
156,156,156,Charles Rangel,H6NY19029,1020500.0,459941.6,469200.0,0.0,0.0,0.0,R000053,D
157,157,157,Reid Ribble,H0WI08075,274900.0,1098737.99,780300.84,365200.0,0.0,0.0,R000587,R
158,158,158,Scott Rigell,H0VA02084,309770.0,639930.13,588947.48,173755.0,0.0,0.0,R000589,R
159,159,159,Matt Salmon,H2AZ06130,0.0,0.0,0.0,0.0,0.0,0.0,S000018,R
160,160,160,Loretta Sánchez,H6CA46033,889447.98,723726.89,618372.14,142050.0,0.0,0.0,S000030,D
161,161,161,Marlin Stutzman,S0IN00095,12050.0,0.0,0.0,339237.0,0.0,0.0,S001188,R
162,162,162,Mark Takai,H4HI01134,0.0,0.0,457752.43,527614.48,0.0,0.0,T000473,D
163,163,163,Chris Van Hollen,H2MD08126,871965.1,754498.54,713318.73,0.0,0.0,0.0,V000128,D
164,164,164,Lynn Westmoreland,H4GA08067,340831.4,608375.56,618097.92,274130.47,0.0,0.0,W000796,R
165,165,165,Edward Whitfield,H4KY01040,803480.82,1353450.0,1461956.7,379610.0,0.0,0.0,W000413,R
166,166,166,Todd Young,H0IN09070,223358.41,364944.96,787499.08,379850.0,0.0,0.0,Y000064,R
167,167,167,Lou Barletta,H2PA11098,318591.78,606969.92,599994.21,710333.9,82022.13,0.0,B001269,R
168,168,168,Joe Barton,H4TX06117,1175517.27,754042.44,634530.84,730552.98,180107.79,0.0,B000213,R
169,169,169,Xavier Becerra,H2CA30143,1105550.0,1238128.77,1172696.86,1137093.47,0.0,0.0,B000287,D
170,170,170,Mike Bishop,H4MI08135,0.0,0.0,474017.35,909834.23,1798788.72,0.0,B001293,R
171,171,171,Diane Black,H0TN06257,380600.62,1178330.74,910419.93,1091898.66,115000.0,0.0,B001273,R
172,172,172,Marsha Blackburn,H2TN06030,858546.36,1130803.17,1222912.59,1282360.8,222157.36,0.0,B001243,R
173,173,173,Rod Blum,H2IA01055,0.0,0.0,212729.9,679422.28,611371.89,0.0,B001294,R
174,174,174,Madeleine Bordallo,H2GU00033,27900.0,0.0,27500.0,55750.0,39975.0,0.0,B001245,D
175,175,175,Robert Brady,H8PA01153,270910.0,339490.0,343000.0,363900.0,113900.0,0.0,B001227,D
176,176,176,David Brat,H4VA07143,0.0,0.0,181625.45,169794.56,455904.15,0.0,B001290,R
