Recipient,Total,Party,Chamber
"Chandler, Ben",11000,Democrat,House
"Barletta, Lou",56500,Republican,House
"Marino, Tom",60700,Republican,House
"Gerlach, Jim",39500,Republican,House
"Yarmuth, John A",43500,Democrat,House
"Thompson, Mike",36500,Democrat,House
"Tester, Jon",57000,Democrat,Senate
"Rogers, Hal",25000,Republican,House
"Guthrie, Brett",87500,Republican,House
"Oberstar, James L",3000,Democrat,House
"Michaud, Mike",2000,Democrat,House
"Sewell, Terri A",87500,Democrat,House
"Aderholt, Robert B",65000,Republican,House
"Taylor, Gene",10000,Democrat,House
"Smoot, Sheila",10000,Democrat,House
"Bonner, Jo",20000,Republican,House
"Woodall, Rob",47000,Republican,House
"Gingrey, Phil",27000,Republican,House
"Westmoreland, Lynn A",36000,Republican,House
"Bachus, Spencer",20000,Republican,House
"Graves, Tom",57000,Republican,House
"Bishop, Sanford",70500,Democrat,House
"Price, Tom",42500,Republican,House
"Kingston, Jack",30000,Republican,House
"Marshall, Jim",10000,Democrat,House
"Miller, Jeff",30500,Republican,House
"Hoeven, John",59500,Republican,Senate
"Raby, Stephen",4000,Democrat,House
"Roby, Martha",53000,Republican,House
"Davis, Lincoln",5000,Democrat,House
"Linder, John",5000,Republican,House
"Minnick, Walt",5000,Democrat,House
"Scott, David",55000,Democrat,House
"Brooks, Mo",44000,Republican,House
"Johnson, Hank",15500,Democrat,House
"Coburn, Tom",3000,Republican,Senate
"Roberts, Pat",20000,Republican,Senate
"Blackburn, Marsha",53500,Republican,Senate
"Scott, Austin",50000,Republican,House
"Herseth Sandlin, Stephanie",7500,Democrat,House
"Perkins, James Jr",2000,Democrat,House
"Hurt, Robert",8500,Republican,House
"Cochran, Thad",54000,Republican,Senate
"Johnson, Sam",9000,Republican,House
"Heller, Dean",34000,Republican,Senate
"Bozeman, Martha",1000,Democrat,House
"Coffman, Mike",37500,Republican,House
"Beutler, Jaime Herrera",12250,Republican,House
"Kirkpatrick, Ann",12500,Democrat,House
"Terry, Lee",58000,Republican,House
"Radanovich, George",1000,Republican,House
"Kosmas, Suzanne",1500,Democrat,House
"Webster, Daniel",12000,Republican,House
"Feingold, Russ",3500,Democrat,Senate
"Johnson, Ron",23500,Republican,Senate
"Moore, Gwen",20500,Democrat,House
"Baldwin, Tammy",38500,Democrat,Senate
"Kagen, Steve",1000,Democrat,House
"Sensenbrenner, Jim",15000,Republican,House
"Duffy, Sean P",60500,Republican,House
"Paulsen, Erik",58500,Republican,House
"Gardner, Cory",115000,Republican,Senate
"Kline, John",15000,Republican,House
"DeGette, Diana",54000,Democrat,House
"Perlmutter, Ed",51500,Democrat,House
"Hastings, Doc",8000,Republican,House
"Thornberry, Mac",36850,Republican,House
"Heinrich, Martin",51000,Democrat,Senate
"Bachmann, Michele",4000,Republican,House
"Berg, Rick",8500,Republican,House
"Herger, Wally",2000,Republican,House
"Lujan, Ben Ray",43000,Democrat,House
"Cravaack, Chip",3000,Republican,House
"Pearce, Steve",10000,Republican,House
"Walz, Tim",11500,Democrat,House
"Tipton, Scott",42500,Republican,House
"McCollum, Betty",16500,Democrat,House
"Johnson, Tim",15000,Democrat,Senate
"Souder, Mark E",1000,Republican,House
"Lassa, Julie",1000,Democrat,House
"Reichert, Dave",1000,Republican,House
"Johanns, Mike",2000,Republican,Senate
"Lamborn, Douglas L",6000,Republican,House
"McDermott, Jim",500,Democrat,House
"Salazar, Ken",5000,Democrat,Senate
"Schilling, Bobby",10000,Republican,House
"Hultgren, Randy",31500,Republican,House
"Long, Billy",72000,Republican,House
"Hatch, Orrin G",70000,Republican,Senate
"Olson, Pete",85000,Republican,House
"Davis, Rodney",85500,Republican,House
"Enyart, William",10000,Democrat,House
"Jenkins, Lynn",12000,Republican,House
"Griffith, Morgan",89500,Republican,House
"Cleaver, Emanuel",13500,Democrat,House
"Ribble, Reid",11500,Republican,House
"Bustos, Cheri",83500,Democrat,House
"Dold, Bob",23500,Republican,House
"Walsh, Joe",1000,Republican,House
"McKinley, David",90000,Republican,House
"Cassis, Nancy",5000,Republican,House
"Allen, George",14000,Republican,Senate
"Critz, Mark",13000,Democrat,House
"Harkin, Tom",6500,Democrat,Senate
"Kildee, Dan",48500,Democrat,House
"Dicks, Norm",2500,Democrat,House
"Bentivolio, Kerry",7000,Republican,House
"Wilson, Heather A",4000,Republican,Senate
"Delaney, John K",18500,Democrat,House
"Mourdock, Richard E",2000,Republican,Senate
"Cuellar, Henry",22500,Democrat,House
"Mica, John L",16000,Republican,House
"Bilbray, Brian P",3000,Republican,House
"Lankford, James",29500,Republican,Senate
"Hirono, Mazie K",2000,Democrat,Senate
"Bruning, Jon",3000,Republican,Senate
"Udall, Tom",25000,Democrat,Senate
"Pompeo, Mike",32500,Republican,House
"McCaul, Michael",34000,Republican,House
"Barber, Ron",7000,Democrat,House
"Flake, Jeff",35000,Republican,Senate
"Amodei, Mark",1000,Republican,House
"Romney, Mitt",10000,Republican,
"Ellmers, Renee",40000,Republican,House
"Pittenger, Robert",19500,Republican,House
"Nugent, Richard",15000,Republican,House
"Bilirakis, Gus",48000,Republican,House
"Mack, Connie",5500,Republican,House
"Wilson, Joe",32500,Republican,House
"Ross, Dennis",17500,Republican,House
"Posey, Bill",12000,Republican,House
"Diaz-Balart, Mario",21500,Republican,House
"Young, C W Bill",3000,Republican,House
"Rice, Tom",67500,Republican,House
"Brooks, Susan",27500,Republican,House
"Crenshaw, Ander ",6000,Republican,House
"Southerland, Steve",20000,Republican,House
"Johnson, Bill",142000,Republican,House
"Rooney, Tom",6000,Republican,House
"Ros-Lehtinen, Ileana",5000,Republican,House
"Young, Todd",18000,Republican,Senate
"Reid, Harry",17500,Democrat,Senate
"Heitkamp, Heidi",55500,Democrat,Senate
"Hochul, Kathleen",3500,Democrat,House
"Castor, Kathy",6000,Democrat,House
"Salmon, Matt",7000,Republican,House
"Meadows, Mark",19500,Republican,House
"Radel, Trey",2500,Republican,House
"Massie, Thomas",11500,Republican,House
"Burton, Dan",1000,Republican,House
"Feinstein, Dianne",14500,Democrat,Senate
"Wenstrup, Brad",53250,Republican,House
"Beatty, Joyce",76500,Democrat,House
"Cardin, Ben",10000,Democrat,Senate
"Adams, Sandy",1000,Republican,House
"Holding, George",35500,Republican,House
"Messer, Luke",23000,Republican,House
"Buchanan, Vernon",42500,Republican,House
"Hayworth, Nan",10000,Republican,House
"Cruz, Ted",33500,Republican,Senate
"Cicilline, David",3500,Democrat,House
"Stockman, Steve",4000,Republican,House
"Truncale, Michael",2000,Republican,House
"Gibson, Chris",4000,Republican,House
"Kennedy, John",23500,Republican,Senate
"Cotton, Tom",19000,Republican,Senate
"Grimm, Michael",3000,Republican,House
"Fischer, Deb",42000,Republican,Senate
"Fortenberry, Jeff",5000,Republican,House
"Flores, Bill",18500,Republican,House
"Jeffries, Hakeem",5000,Democrat,House
"Reyes, Silvestre",1000,Democrat,House
"Gosar, Paul",10000,Republican,House
"Vela, Filemon",13000,Democrat,House
"Williams, Roger",2000,Republican,House
"Andrews, Robert E",1000,Democrat,House
"Slaughter, Louise M",1000,Democrat,House
"Canseco, Quico",1000,Republican,House
"Matsui, Doris",8000,Democrat,House
"Castro, Joaquin",11000,Democrat,House
"Veasey, Marc",21500,Democrat,House
"Menendez, Robert",5500,Democrat,Senate
"Jackson, Jesse Jr",1000,Democrat,House
"Kerry, John",2000,Democrat,Senate
"Bono Mack, Mary",2000,Republican,House
"Snowe, Olympia",1000,Republican,Senate
"Cornilles, Robert",2000,Republican,House
"Capito, Shelley Moore",57000,Republican,Senate
"Kaptur, Marcy",57500,Democrat,House
"Lingle, Linda",6500,Republican,Senate
"Bartlett, Roscoe G",6000,Republican,House
"Kelly, Mike",82500,Republican,House
"Runyan, Jon",7500,Republican,House
"Goodlatte, Bob",14500,Republican,House
"Kyrillos, Joe",2500,Republican,Senate
"Pascrell, Bill Jr",5000,Democrat,House
"Fitzpatrick, Michael G",21000,Republican,House
"Rothman, Steven R",1000,Democrat,House
"Bonamici, Suzanne",36000,Democrat,House
"Merkley, Jeff",15600,Democrat,Senate
"Daines, Steven",76000,Republican,Senate
"Perry, Scott",56000,Republican,House
"Barr, Andy",34000,Republican,House
"Mandel, Josh",1000,Republican,Senate
"Rogers, Hayden",5000,Democrat,House
"Collins, Doug",47000,Republican,House
"Lemieux, George S",1000,Republican,Senate
"Thompson, Tommy G",3500,Republican,Senate
"Lee, Mike",12800,Republican,Senate
"Zoller, Martha",1500,Republican,House
"Denham, Jeff",23000,Republican,House
"Wagner, Ann L",76500,Republican,House
"Sessions, Jeff",21000,Republican,Senate
"Horsford, Steven",16000,Democrat,House
"McIntosh, David M",1000,Republican,House
"Gallego, Pete",5500,Democrat,House
"Pocan, Mark",9000,Democrat,House
"Pawlenty, Tim",5000,Republican,
"Franken, Al",13500,Democrat,Senate
"Neugebauer, Randy",9000,Republican,House
"Enzi, Mike",20000,Republican,Senate
"Cramer, Kevin",54500,Republican,Senate
"Berkley, Shelley",1000,Democrat,House
"Cooper, Jim",6500,Democrat,House
"Dewhurst, David H",1000,Republican,Senate
"Nolan, Rick",4500,Democrat,House
"Baca, Joe",1000,Democrat,House
"Young, Don",1000,Republican,House
"Ellison, Keith",5000,Democrat,House
"Smith, Jason",59500,Republican,House
"Foster, Bill",3000,Democrat,House
"Murphy, Patrick",10000,Democrat,House
"Land, Terri Lynn",7500,Republican,Senate
"Dingell, Debbie",62000,Democrat,House
"Bishop, Mike",40000,Republican,House
"Moolenaar, John",38000,Republican,House
"Trott, Dave",13500,Republican,House
"Lawrence, Brenda",39500,Democrat,House
"Hobbs, Rudy",2500,Democrat,House
"Ruppersberger, Dutch",14500,Democrat,House
"Tillis, Thom",36000,Republican,Senate
"Strickland, Tony",2000,Republican,House
"Norcross, Don",21000,Democrat,House
"Grisham, Michelle Lujan",3000,Democrat,House
"Carney, John",2000,Democrat,House
"Valadao, David",16500,Republican,House
"Booker, Cory",20000,Democrat,Senate
"Sheffield, Horace",500,Democrat,House
"Walorski, Jackie",40000,Republican,House
"Hudson, Richard",59700,Republican,House
"Jolly, David",16500,Republican,House
"Sinema, Kyrsten",29000,Democrat,Senate
"Schneider, Brad",5000,Democrat,House
"DeSantis, Ron",6500,Republican,House
"Berger, Philip",3000,Republican,House
"Rothfus, Keith J",39500,Republican,House
"Peters, Scott",18000,Democrat,House
"Hutto, Brad",3000,Democrat,Senate
"Adams, Alma",21500,Democrat,House
"Yoho, Ted",4500,Republican,House
"Rounds, Mike",50000,Republican,Senate
"Heck, Joe",17000,Republican,House
"Chaffetz, Jason",10500,Republican,House
"DelBene, Suzan",1000,Democrat,House
"Byrne, Bradley",60500,Republican,House
"Perdue, David",26000,Republican,Senate
"Smith, Adrian",4000,Republican,House
"Kennedy, Joe III",18000,Democrat,House
"Rouzer, David",26500,Republican,House
"Casey, Nick",12000,Democrat,House
"Loebsack, David",6000,Democrat,House
"Walker, Mark",17500,Republican,House
"Benacquisto, Lizbeth",1000,Republican,House
"Eshoo, Anna",1000,Democrat,House
"Marchant, Kenny",2000,Republican,House
"Lipinski, Daniel",2000,Democrat,House
"Holloway, Clyde C",2500,Republican,House
"Graves, Garret",45000,Republican,House
"Weber, Randy",6000,Republican,House
"Babin, Brian",9500,Republican,House
"Abraham, Ralph",17000,Republican,House
"Rodgers, Cathy McMorris",60000,Republican,House
