Recipient,Party,Chamber,Coal Ratio,Hydro Ratio,Nuclear Ratio,Oil Ratio,Solar Ratio,Wind Ratio
"Stutzman, Marlin",0,0,0.06557377049180328,0.13114754098360656,0.26229508196721313,0.47540983606557374,0.0,0.06557377049180328
"Bingaman, Jeff",0,0,0.10344827586206896,0.23275862068965517,0.3620689655172414,0.25,0.017241379310344827,0.034482758620689655
"Lewis, Jerry",0,0,0.0625,0.0,0.0625,0.1875,0.0,0.6875
"Nunes, Devin",0,0,0.03428571428571429,0.06285714285714286,0.06285714285714286,0.7371428571428571,0.0,0.10285714285714286
"Sessions, Pete",0,0,0.01964085297418631,0.07575757575757576,0.1947250280583614,0.6369248035914703,0.0,0.07295173961840629
"Simpson, Mike",0,0,0.06944444444444445,0.1527777777777778,0.16666666666666666,0.5694444444444444,0.0,0.041666666666666664
"Miller, Candice S",0,0,0.021739130434782608,0.43478260869565216,0.43478260869565216,0.10869565217391304,0.0,0.0
"Benishek, Dan",0,0,0.02666666666666667,0.20333333333333334,0.18333333333333332,0.5666666666666667,0.0,0.02
"Dingell, John D",0,0,0.004728132387706856,0.3900709219858156,0.46335697399527187,0.07565011820330969,0.0,0.06619385342789598
"Duncan, John J Jr",0,0,0.21428571428571427,0.0,0.0,0.35714285714285715,0.0,0.42857142857142855
"Biggert, Judy",0,0,0.043859649122807015,0.11403508771929824,0.13157894736842105,0.4649122807017544,0.0,0.24561403508771928
"Calvert, Ken",0,0,0.06666666666666667,0.0,0.03333333333333333,0.65,0.016666666666666666,0.23333333333333334
"Pombo, Richard W",0,0,0.5862068965517241,0.0,0.0,0.41379310344827586,0.0,0.0
"Young, Don",0,0,0.041666666666666664,0.020833333333333332,0.020833333333333332,0.8958333333333334,0.0,0.020833333333333332
"Gordon, Bart",0,0,0.030303030303030304,0.3787878787878788,0.4696969696969697,0.06060606060606061,0.0,0.06060606060606061
"Tanner, John",0,0,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.0,0.0,0.5
"Davis, Artur",0,0,1.0,0.0,0.0,0.0,0.0,0.0
"Begich, Mark",0,0,0.028985507246376812,0.17391304347826086,0.2028985507246377,0.5507246376811594,0.0,0.043478260869565216
"Fleischmann, Chuck",0,0,0.25,0.0,0.0,0.75,0.0,0.0
"Fincher, Steve",0,0,0.05504587155963303,0.01834862385321101,0.01834862385321101,0.8165137614678899,0.0,0.09174311926605505
"Tester, Jon",0,0,0.039735099337748346,0.3576158940397351,0.3841059602649007,0.033112582781456956,0.026490066225165563,0.15894039735099338
"Murtha, John P",0,0,0.13793103448275862,0.0,0.0,0.0,0.0,0.8620689655172413
"Critz, Mark",0,0,0.14965986394557823,0.17687074829931973,0.2108843537414966,0.29931972789115646,0.0,0.16326530612244897
"Meehan, Patrick",0,0,0.03954802259887006,0.1751412429378531,0.1751412429378531,0.4858757062146893,0.0,0.12429378531073447
"Durbin, Dick",0,0,0.22727272727272727,0.3181818181818182,0.3181818181818182,0.0,0.0,0.13636363636363635
"Doyle, Mike",0,0,0.012711864406779662,0.4025423728813559,0.5211864406779662,0.046610169491525424,0.0,0.01694915254237288
