Recipient,Total,Party,Chamber
"Johnson, Hank",3500,Democrat,House
"Coburn, Tom",3000,Republican,Senate
"Roberts, Pat",5000,Republican,Senate
"Blackburn, Marsha",2500,Republican,House
"Scott, Austin",2500,Republican,House
"Herseth Sandlin, Stephanie",7500,Democrat,House
"Perkins, James Jr",2000,Democrat,House
"Hurt, Robert",1000,Republican,House
"Cochran, Thad",1000,Republican,Senate
"Johnson, Sam",1000,Republican,House
"Heller, Dean",2000,Republican,House
"Bozeman, Martha",1000,Democrat,House
"Coffman, Mike",3000,Republican,House
"Beutler, Jaime Herrera",1000,Republican,House
"Kirkpatrick, Ann",1000,Democrat,House
"Terry, Lee",1500,Republican,House
"Radanovich, George",1000,Republican,House
"Kosmas, Suzanne",1500,Democrat,House
"Webster, Daniel",500,Republican,House
"Feingold, Russ",3500,Democrat,Senate
"Johnson, Ron",2000,Republican,Senate
"Moore, Gwen",2000,Democrat,House
"Baldwin, Tammy",1000,Democrat,House
"Kagen, Steve",1000,Democrat,House
"Sensenbrenner, Jim",3500,Republican,House
"Duffy, Sean P",4500,Republican,House
"Paulsen, Erik",7500,Republican,House
"Gardner, Cory",5000,Republican,House
"Kline, John",4000,Republican,House
"DeGette, Diana",4500,Democrat,House
"Perlmutter, Ed",3500,Democrat,House
"Hastings, Doc",3000,Republican,House
"Thornberry, Mac",3000,Republican,House
"Heinrich, Martin",3000,Democrat,House
"Bachmann, Michele",2000,Republican,House
"Berg, Rick",2000,Republican,House
"Herger, Wally",2000,Republican,House
"Lujan, Ben Ray",2000,Democrat,House
"Cravaack, Chip",2000,Republican,House
"Pearce, Steve",2000,Republican,House
"Walz, Tim",2000,Democrat,House
"Tipton, Scott",2000,Republican,House
"McCollum, Betty",2000,Democrat,House
"Johnson, Tim",1000,Democrat,Senate
"Souder, Mark E",1000,Republican,House
"Lassa, Julie",1000,Democrat,House
"Reichert, Dave",1000,Republican,House
"Johanns, Mike",1000,Republican,Senate
"Lamborn, Douglas L",1000,Republican,House
"McDermott, Jim",500,Democrat,House
"Salazar, Ken",5000,Democrat,Senate
