Recipient,Total,Party,Chamber
"McSally, Martha",24000,Republican,House
"Smith, Jason",17500,Republican,House
"Sanford, Mark",9500,Republican,House
"Jenkins, Evan",17500,Republican,House
"McAllister, Vance",6000,Republican,House
"Gosar, Paul",20000,Republican,House
"Baucus, Max",14000,Democrat,Senate
"Coons, Chris",6500,Democrat,Senate
"Tennant, Natalie",1000,Democrat,Senate
"Casey, Bob",1000,Democrat,Senate
"Unger, John",500,Democrat,House
"Wagner, Ann L",33000,Republican,House
"Bilirakis, Gus",22500,Republican,House
"Walorski, Jackie",24500,Republican,House
"Demaio, Carl",19500,Republican,House
"Davis, Rodney",29500,Republican,House
"Costello, Ryan",17000,Republican,House
"Bishop, Mike",15000,Republican,House
"Rigell, Scott",17500,Republican,House
"Margolies, Marjorie",5000,Democrat,House
"Miller, Candice S",21500,Republican,House
"Messer, Luke",25000,Republican,House
"Tisei, Richard",8500,Republican,House
"Boyle, Brendan",7500,Democrat,House
"Fitzpatrick, Michael G",17500,Republican,House
"Walberg, Tim",27500,Republican,House
"Bishop, Sanford",7000,Democrat,House
"Long, Billy",30000,Republican,House
"Hurd, Will",13500,Republican,House
"Duncan, Jeff",21500,Republican,House
"Barr, Andy",21500,Republican,House
"Brooks, Susan",22000,Republican,House
"Ross, Dennis",28500,Republican,House
"Guinta, Frank",15000,Republican,House
"Tobin, Andy",15000,Republican,House
"Dold, Bob",11000,Republican,House
"DeSantis, Ron",18500,Republican,House
"Schock, Aaron",15000,Republican,House
"Zeldin, Lee",15000,Republican,House
"Rokita, Todd",25000,Republican,House
"Poliquin, Bruce",10000,Republican,House
"Riser, Neil",5000,Republican,House
"Wilson, Joe",10000,Republican,House
"Paulsen, Erik",17500,Republican,House
"Newhouse, Dan",5000,Republican,House
"Mills, Stewart",15000,Republican,House
"Graves, Sam",6000,Republican,House
"Veasey, Marc",15000,Democrat,House
"McIntyre, Mike",6000,Democrat,House
"Kline, John",16000,Republican,House
"Djou, Charles",5000,Republican,House
"Duffy, Sean P",14500,Republican,House
"Sewell, Terri A",6000,Democrat,House
"Yoder, Kevin",19500,Republican,House
"Webster, Daniel",7000,Republican,House
"Portman, Rob",4000,Republican,Senate
"Dingell, John D",4000,Democrat,House
"Foxx, Virginia",10500,Republican,House
"Gorell, Jeff",10000,Republican,House
"Huizenga, Bill",13500,Republican,House
"Mulvaney, Mick",10500,Republican,House
"Yoho, Ted",13500,Republican,House
"Norcross, Don",3500,Democrat,House
"Fincher, Steve",18500,Republican,House
"Horsford, Steven",3500,Democrat,House
"Posey, Bill",7000,Republican,House
"Collins, Chris",6000,Republican,House
"Dingell, Debbie",5000,Democrat,House
"Gibson, Chris",8500,Republican,House
"Rice, Tom",7000,Republican,House
"Meadows, Mark",5000,Republican,House
"Lujan, Ben Ray",10500,Democrat,House
"Curbelo, Carlos",7500,Republican,House
"Ose, Doug",4500,Republican,House
"Reichert, Dave",7500,Republican,House
"Hanna, Richard",2500,Republican,House
"Garrett, Scott",15500,Republican,House
"King, Steven A",5000,Republican,House
"Hunter, Duncan D",7500,Republican,House
"Rouzer, David",11000,Republican,House
"LoBiondo, Frank",9500,Republican,House
"Crenshaw, Ander ",2500,Republican,House
"Young, Todd",15000,Republican,House
"Stutzman, Marlin",20000,Republican,House
"Hudson, Richard",38500,Republican,House
"Peterson, Collin",12500,Democrat,House
"Allen, Richard W",2500,Republican,House
"Loudermilk, Barry",7500,Republican,House
"Fudge, Marcia L",9500,Democrat,House
"Gingrey, Phil",4500,Republican,House
"Garcia, Joe",2000,Democrat,House
"Carson, Andre",3500,Democrat,House
"Nugent, Richard",8500,Republican,House
"Latham, Tom",1000,Republican,House
"Vitter, David",27000,Republican,Senate
"Heller, Dean",1000,Republican,Senate
"Murphy, Patrick",1000,Democrat,House
"Thompson, Bennie G",3500,Democrat,House
"Huelskamp, Tim",17500,Republican,House
"Grimm, Michael",5500,Republican,House
"Wittman, Rob",5500,Republican,House
"Gowdy, Trey",16500,Republican,House
"Wenstrup, Brad",13500,Republican,House
"Collins, Doug",3000,Republican,House
"Kirkpatrick, Ann",4500,Democrat,House
"Fleischmann, Chuck",6000,Republican,House
"Schrader, Kurt",1000,Democrat,House
"Cardenas, Tony",1500,Democrat,House
"Schweikert, David",15000,Republican,House
"Franks, Trent",7500,Republican,House
"Sinema, Kyrsten",5000,Democrat,House
"Booker, Cory",5000,Democrat,Senate
"Barber, Ron",3500,Democrat,House
"Pastor, Ed",2500,Democrat,House
"Kirk, Mark",1000,Republican,Senate
"Shannon, T W",2500,Republican,Senate
"Cruz, Ted",3000,Republican,Senate
"Heinrich, Martin",2000,Democrat,Senate
"Lee, Mike",4500,Republican,Senate
"Garcia, Marilinda",10000,Republican,House
"Bost, Mike",12000,Republican,House
"Bucshon, Larry",10000,Republican,House
"Schilling, Bobby",10000,Republican,House
"Amash, Justin",10000,Republican,House
"Ribble, Reid",10000,Republican,House
"Hill, French",8500,Republican,House
"Senger, Darlene",7500,Republican,House
"Hurt, Robert",14500,Republican,House
"Moolenaar, John",8500,Republican,House
"Hartzler, Vicky",6000,Republican,House
"Palmer, Gary",5000,Republican,House
"Scott, Austin",7500,Republican,House
"Sensenbrenner, Jim",5000,Republican,House
"Rubio, Marco",11100,Republican,Senate
"MacArthur, Thomas",5000,Republican,House
"Grothman, Glenn S",5000,Republican,House
"Katko, John",5000,Republican,House
"Blum, Rod",5000,Republican,House
"Emmer, Tom",5000,Republican,House
"Westerman, Bruce",5000,Republican,House
"Womack, Steve",5000,Republican,House
"Lane, Charlotte",10000,Republican,House
"Logue, Dan",11000,Republican,House
"Berger, Philip",5000,Republican,House
"Rogers, Wendy",5000,Republican,House
"Brat, Dave",5000,Republican,House
"Hultgren, Randy",10000,Republican,House
"Pittenger, Robert",11500,Republican,House
"Griffin, Taylor",5000,Republican,House
"Radel, Trey",3000,Republican,House
"Carter, Buddy",2500,Republican,House
"Trott, Dave",5000,Republican,House
"Rohrabacher, Dana",2500,Republican,House
"Rogers, Mike D",3500,Republican,House
"Hice, Jody",2500,Republican,House
"Johnson, Ron",1000,Republican,Senate
"Wyden, Ron",1500,Democrat,Senate
"Butterfield, G K",5000,Democrat,House
"Bentivolio, Kerry",3500,Republican,House
"Kind, Ron",2500,Democrat,House
"Thompson, Mike",7000,Democrat,House
"Beatty, Joyce",2500,Democrat,House
"Brooks, Mo",2500,Republican,House
"Kildee, Dan",2500,Democrat,House
"Benacquisto, Lizbeth",2500,Republican,House
"Kaptur, Marcy",2500,Democrat,House
"Wilson, Frederica",2500,Democrat,House
"Scott, David",2500,Democrat,House
"Conyers, John Jr",2500,Democrat,House
"Sanchez, Linda",2500,Democrat,House
"Visclosky, Pete",2500,Democrat,House
"Rush, Bobby L",2500,Democrat,House
"Tracy, Jim",1000,Republican,House
"Manchin, Joe",2000,Democrat,Senate
"Cotton, Stanley S",2000,Democrat,House
"Canseco, Quico",10000,Republican,House
"Kingston, Jack",2500,Republican,House
"Neal, Richard E",1000,Democrat,House
"Birman, Igor A",2000,Republican,House
"Maloney, Sean Patrick",1000,Democrat,House
"Payne, Donald M Jr",2500,Democrat,House
"Lowenthal, Alan",2000,Democrat,House
"Duncan, John J Jr",2000,Republican,House
"Frelinghuysen, Rodney",4000,Republican,House
"DelBene, Suzan",2000,Democrat,House
"Andrews, Robert E",5000,Democrat,House
"Moran, Jerry",2500,Republican,Senate
"O'Rourke, Beto",2500,Democrat,House
"Holloway, Clyde C",1500,Republican,House
"Sires, Albio",3000,Democrat,House
"Roby, Martha",3000,Republican,House
"Israel, Steve",3000,Democrat,House
"Walker, Mark",2000,Republican,House
"Buchanan, Vernon",2000,Republican,House
"Schumer, Charles E",1000,Democrat,Senate
"Wolf, Frank",1000,Republican,House
"Forbes, Randy",1000,Republican,House
"Runyan, Jon",1000,Republican,House
"Bonner, Jo",1000,Republican,House
"Rooney, Tom",7000,Republican,House
"Hoeven, John",3000,Republican,Senate
"Barrasso, John A",2500,Republican,Senate
